Contest, Problem, Difficulty, Name, Codeforces URL
1674, A, 800, Number Transformation, https://codeforces.com/problemset/problem/1674/A
1674, B, 800, Dictionary, https://codeforces.com/problemset/problem/1674/B
1675, A, 800, Food for Animals, https://codeforces.com/problemset/problem/1675/A
1676, A, 800, Lucky?, https://codeforces.com/problemset/problem/1676/A
1676, B, 800, Equal Candies, https://codeforces.com/problemset/problem/1676/B
1676, C, 800, Most Similar Words, https://codeforces.com/problemset/problem/1676/C
1680, A, 800, Minimums and Maximums, https://codeforces.com/problemset/problem/1680/A
1680, B, 800, Robots, https://codeforces.com/problemset/problem/1680/B
1681, A, 800, Game with Cards, https://codeforces.com/problemset/problem/1681/A
1681, B, 800, Card Trick, https://codeforces.com/problemset/problem/1681/B
1682, A, 800, Palindromic Indices, https://codeforces.com/problemset/problem/1682/A
1684, A, 800, Digit Minimization, https://codeforces.com/problemset/problem/1684/A
1684, B, 800, Z mod X = C, https://codeforces.com/problemset/problem/1684/B
1689, A, 800, Lex String, https://codeforces.com/problemset/problem/1689/A
1690, A, 800, Print a Pedestal (Codeforces logo?), https://codeforces.com/problemset/problem/1690/A
1690, B, 800, Array Decrements, https://codeforces.com/problemset/problem/1690/B
1690, C, 800, Restoring the Duration of Tasks, https://codeforces.com/problemset/problem/1690/C
1691, A, 800, Beat The Odds, https://codeforces.com/problemset/problem/1691/A
1692, A, 800, Marathon, https://codeforces.com/problemset/problem/1692/A
1692, B, 800, All Distinct, https://codeforces.com/problemset/problem/1692/B
1692, C, 800, Where's the Bishop?, https://codeforces.com/problemset/problem/1692/C
1695, A, 800, Subrectangle Guess, https://codeforces.com/problemset/problem/1695/A
1696, A, 800, NIT orz!, https://codeforces.com/problemset/problem/1696/A
1698, A, 800, XOR Mixup, https://codeforces.com/problemset/problem/1698/A
1698, B, 800, Rising Sand, https://codeforces.com/problemset/problem/1698/B
1700, A, 800, Optimal Path, https://codeforces.com/problemset/problem/1700/A
1702, A, 800, Round Down the Price, https://codeforces.com/problemset/problem/1702/A
1702, B, 800, Polycarp Writes a String from Memory, https://codeforces.com/problemset/problem/1702/B
1703, A, 800, YES or YES?, https://codeforces.com/problemset/problem/1703/A
1703, B, 800, ICPC Balloons, https://codeforces.com/problemset/problem/1703/B
1703, C, 800, Cypher, https://codeforces.com/problemset/problem/1703/C
1704, A, 800, Two 0-1 Sequences, https://codeforces.com/problemset/problem/1704/A
1706, A, 800, Another String Minimization Problem, https://codeforces.com/problemset/problem/1706/A
1712, A, 800, Wonderful Permutation, https://codeforces.com/problemset/problem/1712/A
1712, B, 800, Woeful Permutation, https://codeforces.com/problemset/problem/1712/B
1713, A, 800, Traveling Salesman Problem, https://codeforces.com/problemset/problem/1713/A
1714, B, 800, Remove Prefix, https://codeforces.com/problemset/problem/1714/B
1714, C, 800, Minimum  Varied Number, https://codeforces.com/problemset/problem/1714/C
1715, A, 800, Crossmarket, https://codeforces.com/problemset/problem/1715/A
1716, A, 800, 2-3 Moves, https://codeforces.com/problemset/problem/1716/A
1716, B, 800, Permutation Chain, https://codeforces.com/problemset/problem/1716/B
1720, B, 800, Interesting Sum, https://codeforces.com/problemset/problem/1720/B
1725, A, 800, Accumulation of Dominoes, https://codeforces.com/problemset/problem/1725/A
1740, A, 800, Factorise N+M, https://codeforces.com/problemset/problem/1740/A
1740, B, 800, Jumbo Extra Cheese 2, https://codeforces.com/problemset/problem/1740/B
1741, A, 800, Compare T-Shirt Sizes, https://codeforces.com/problemset/problem/1741/A
1741, B, 800, Funny Permutation, https://codeforces.com/problemset/problem/1741/B
1744, A, 800, Number Replacement, https://codeforces.com/problemset/problem/1744/A
1744, B, 800, Even-Odd Increments , https://codeforces.com/problemset/problem/1744/B
1746, A, 800, Maxmina, https://codeforces.com/problemset/problem/1746/A
1746, B, 800, Rebellion, https://codeforces.com/problemset/problem/1746/B
1750, A, 800, Indirect Sort, https://codeforces.com/problemset/problem/1750/A
1750, B, 800, Maximum Substring, https://codeforces.com/problemset/problem/1750/B
1758, A, 800, SSeeeeiinngg DDoouubbllee, https://codeforces.com/problemset/problem/1758/A
1762, A, 800, Divide and Conquer, https://codeforces.com/problemset/problem/1762/A
1765, B, 800, Broken Keyboard, https://codeforces.com/problemset/problem/1765/B
1766, A, 800, Extremely Round, https://codeforces.com/problemset/problem/1766/A
1773, F, 800, Football, https://codeforces.com/problemset/problem/1773/F
1774, A, 800, Add Plus Minus Sign, https://codeforces.com/problemset/problem/1774/A
1780, A, 800, Hayato and School, https://codeforces.com/problemset/problem/1780/A
1800, A, 800, Is It a Cat?, https://codeforces.com/problemset/problem/1800/A
1810, A, 800, Beautiful Sequence, https://codeforces.com/problemset/problem/1810/A
1810, B, 800, Candies, https://codeforces.com/problemset/problem/1810/B
1822, A, 800, TubeTube Feed, https://codeforces.com/problemset/problem/1822/A
1833, A, 800, Musical Puzzle, https://codeforces.com/problemset/problem/1833/A
