Contest,  Problem,  Difficulty,  Name,  Codeforces URL
1546,  B,  1200,  AquaMoon and Stolen String,  https://codeforces.com/problemset/problem/1546/B
1546,  B,  1200,  AquaMoon and Stolen String,  https://codeforces.com/problemset/problem/1546/B
1553,  C,  1200,  Penalty,  https://codeforces.com/problemset/problem/1553/C
1559,  C,  1200,  Mocha and Hiking,  https://codeforces.com/problemset/problem/1559/C
1578,  E,  1200,  Easy Scheduling,  https://codeforces.com/problemset/problem/1578/E
1581,  B,  1200,  Diameter of Graph,  https://codeforces.com/problemset/problem/1581/B
1582,  C,  1200,  Grandma Capa Knits a Scarf,  https://codeforces.com/problemset/problem/1582/C
1582,  C,  1200,  Grandma Capa Knits a Scarf,  https://codeforces.com/problemset/problem/1582/C
1583,  B,  1200,  Omkar and Heavenly Tree,  https://codeforces.com/problemset/problem/1583/B
1592,  B,  1200,  Hemose Shopping,  https://codeforces.com/problemset/problem/1592/B
1594,  C,  1200,  Make Them Equal,  https://codeforces.com/problemset/problem/1594/C
1594,  C,  1200,  Make Them Equal,  https://codeforces.com/problemset/problem/1594/C
1598,  C,  1200,  Delete Two Elements,  https://codeforces.com/problemset/problem/1598/C
1598,  C,  1200,  Delete Two Elements,  https://codeforces.com/problemset/problem/1598/C
1608,  B,  1200,  Build the Permutation,  https://codeforces.com/problemset/problem/1608/B
1613,  C,  1200,  Poisoned Dagger,  https://codeforces.com/problemset/problem/1613/C
1619,  C,  1200,  Wrong Addition,  https://codeforces.com/problemset/problem/1619/C
1619,  C,  1200,  Wrong Addition,  https://codeforces.com/problemset/problem/1619/C
1635,  C,  1200,  Differential Sorting,  https://codeforces.com/problemset/problem/1635/C
1637,  C,  1200,  Andrew and Stones,  https://codeforces.com/problemset/problem/1637/C
1641,  A,  1200,  Great Sequence,  https://codeforces.com/problemset/problem/1641/A
1641,  A,  1200,  Great Sequence,  https://codeforces.com/problemset/problem/1641/A
1647,  B,  1200,  Madoka and the Elegant Gift,  https://codeforces.com/problemset/problem/1647/B
1650,  C,  1200,  Weight of the System of Nested Segments,  https://codeforces.com/problemset/problem/1650/C
1656,  C,  1200,  Make Equal With Mod,  https://codeforces.com/problemset/problem/1656/C
1657,  C,  1200,  Bracket Sequence Deletion,  https://codeforces.com/problemset/problem/1657/C
1669,  E,  1200,  2-Letter Strings,  https://codeforces.com/problemset/problem/1669/E
1669,  E,  1200,  2-Letter Strings,  https://codeforces.com/problemset/problem/1669/E
1669,  G,  1200,  Fall Down,  https://codeforces.com/problemset/problem/1669/G
1671,  C,  1200,  Dolce Vita,  https://codeforces.com/problemset/problem/1671/C
1671,  C,  1200,  Dolce Vita,  https://codeforces.com/problemset/problem/1671/C
